Acetic acid;CH3COOH
Hydrochloric acid;HCl
Sulfuric acid;H2SO4
Ammonia;NH3
Nitric acid;HNO3
Phosphoric acid;H3PO4
Sodium phosphate;Na3PO4
Calcium carbonate;CaCO3
Carbonic acid;H2CO3
Sodium bicarbonate;NaHCO3
Sodium hydroxide;NaOH
Ethanol;C2H5OH
Hydrobromic acid;HBr
Sulfuric acid;H2SO4
Nitrous acid;HNO2
Potassium hydroxide;KOH
Silver nitrate;AgNO3
Sodium carbonate;Na2CO3
Sodium chloride;NaCl 
Methane;CH4
Nitrogen dioxide;NO2
Potassium hydroxide;KOH
Sodium nitrate;NaNO3
Sulfurous acid;H2SO3
Aluminum oxide;Al2O3
Ammonia;NH3
Ammonium nitrate;NH4NO3
Carbon tetrachloride;CCl4
Citric acid;C6H8O7
Hydrocyanic acid;HCN
Salicylic Acid;C7H6O3
Hydroiodic acid;HI
Hypochlorous acid;HClO
Iron iii oxide;Fe2O3
Sodium acetate;C2H3NaO2
Sodium sulfate;Na2SO4
Sucrose;C12H22O11
Potassium nitrate;KNO3
Ammonium bicarbonate;NH4HCO3
Ammonium chloride;NH4Cl
Ammonium hydroxide;NH4OH
Calcium oxide;CaO
Carbon monoxide;CO 
Chlorine gas;Cl2
Phenol;C6H6O
Hydrogen peroxide;H2O2
Magnesium chloride;MgCl2
Potassium chloride;KCl
Potassium iodide;KI
Sulfur dioxide;SO2
Glycerin;C3H8O3
Calcium acetate;C4H6O4Ca
Sulfurous Acid;H2SO3
Iron oxide;Fe2O3
Potassium carbonate;K2CO3 
Silver chloride;AgCl
Sodium iodide;NaI
Sodium oxide;Na2O
Sodium sulfide;Na2S
Sucrose;C12H22O11
Phenolphthalein;C20H14O4
Silicon dioxide;SiO2
Acetone;C3H6O 
Hydroquinone;C6H6O2
Pyridine;C5H5N
Ammonium acetate;C2H3O2NH4
Xylene;C8H10
Barium sulfate;BaSO4
Benzene;C6H6
Methyl Ethyl Ketone;C4H8O
Trichloroacetic acid;C2HCl3O2
Magnesium sulfate;MgSO4
Methanol;CH3OH 
Nitrogen dioxide;NO2
Oxygen;O
Methylene blue;C16H18ClN3S
Sodium sulfite;Na2SO3
Sulfur trioxide;SO3
Aluminum phosphate;AlPO4
Stearic acid;C18H36O2
Dinitrogen monoxide;N2O
Carbon monoxide;CO
Carbonic acid;H2CO3 
Sodium carbonate;Na2CO3
Titanium dioxide;TiO2
Acetonitrile;C2H3N
Oxalic acid;H2C2O4
Potassium dichromate;K2Cr2O7
Salicylic acid;C7H6O3
Sodium bromide;NaBr
Sodium hypochlorite;NaClO
Zinc chloride;ZnCl2
Magnesium carbonate;MgCO3
Potassium chlorate;KClO3
Hydrazine;N2H4
